#Entry	Entry name	Length	Organism
Q3T0R7	THIM_BOVIN	397	Bos taurus (Bovine)
P13437	THIM_RAT	397	Rattus norvegicus (Rat)
Q9W0V1	PDPK1_DROME	836	Drosophila melanogaster (Fruit fly)
P79891	RS3_AMBME	253	Ambystoma mexicanum (Axolotl)
Q0Z8U2	RS3_PIG	243	Sus scrofa (Pig)
P62908	RS3_MOUSE	243	Mus musculus (Mouse)
E2RH47	RS3_CANLF	243	Canis lupus familiaris (Dog) (Canis familiaris)
Q5R465	RS3_PONAB	243	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q3T169	RS3_BOVIN	243	Bos taurus (Bovine)
P23396	RS3_HUMAN	243	Homo sapiens (Human)
P62909	RS3_RAT	243	Rattus norvegicus (Rat)
Q90YS2	RS3_ICTPU	245	Ictalurus punctatus (Channel catfish) (Silurus punctatus)
P02350	RS31_XENLA	246	Xenopus laevis (African clawed frog)
P47835	RS32_XENLA	246	Xenopus laevis (African clawed frog)
Q02152	5HT2B_MOUSE	479	Mus musculus (Mouse)
P30994	5HT2B_RAT	479	Rattus norvegicus (Rat)
P41595	5HT2B_HUMAN	481	Homo sapiens (Human)
P97267	5HT2B_CAVPO	96	Cavia porcellus (Guinea pig)
Q29005	5HT2B_PIG	60	Sus scrofa (Pig)
P9WNK7	ESXA_MYCTU	95	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
P10809	CH60_HUMAN	573	Homo sapiens (Human)
P18077	RL35A_HUMAN	110	Homo sapiens (Human)
Q0D1P0	TERB_ASPTN	952	Aspergillus terreus (strain NIH 2624 / FGSC A1156)
P0DMV6	3SA12_DABRR	20	Daboia russelii (Russel's viper) (Vipera russelii)
Q0VCX2	GRP78_BOVIN	655	Bos taurus (Bovine)
P34935	GRP78_PIG	262	Sus scrofa (Pig)
P16392	GRP78_HORSE	15	Equus caballus (Horse)
P07823	GRP78_MESAU	654	Mesocricetus auratus (Golden hamster)
P20029	GRP78_MOUSE	655	Mus musculus (Mouse)
Q5R4P0	GRP78_PONAB	654	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P11021	GRP78_HUMAN	654	Homo sapiens (Human)
P06761	GRP78_RAT	654	Rattus norvegicus (Rat)
O60733	PLPL9_HUMAN	806	Homo sapiens (Human)
P97819	PLPL9_MOUSE	807	Mus musculus (Mouse)
P97570	PLPL9_RAT	807	Rattus norvegicus (Rat)
Q4JIM5	ABL2_MOUSE	1182	Mus musculus (Mouse)
Q8IZP0	ABI1_HUMAN	508	Homo sapiens (Human)
P0CK17	P30II_HTL1C	241	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1)
P0C214	P30II_HTL1A	241	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)
P22303	ACES_HUMAN	614	Homo sapiens (Human)
P49911	AN32A_RAT	247	Rattus norvegicus (Rat)
Q9V895	AN32A_DROME	261	Drosophila melanogaster (Fruit fly)
O35381	AN32A_MOUSE	247	Mus musculus (Mouse)
Q7ZUP0	AN32A_DANRE	254	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6PAF6	AN32A_XENLA	244	Xenopus laevis (African clawed frog)
Q8HY67	AN32A_CANLF	249	Canis lupus familiaris (Dog) (Canis familiaris)
Q28XE2	AN32A_DROPS	263	Drosophila pseudoobscura pseudoobscura (Fruit fly)
P39687	AN32A_HUMAN	249	Homo sapiens (Human)
P51122	AN32A_BOVIN	249	Bos taurus (Bovine)
Q9EST6	AN32B_RAT	272	Rattus norvegicus (Rat)
Q95M17	CHIA_BOVIN	472	Bos taurus (Bovine)
Q91XA9	CHIA_MOUSE	473	Mus musculus (Mouse)
Q6RY07	CHIA_RAT	473	Rattus norvegicus (Rat)
Q9BZP6	CHIA_HUMAN	476	Homo sapiens (Human)
P39013	END3_YEAST	349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
O96019	ACL6A_HUMAN	429	Homo sapiens (Human)
Q4R333	ACL6A_MACFA	429	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q9Z2N8	ACL6A_MOUSE	429	Mus musculus (Mouse)
Q9QXN3	TRIP4_MOUSE	581	Mus musculus (Mouse)
O00198	HRK_HUMAN	91	Homo sapiens (Human)
P62816	HRK_MOUSE	92	Mus musculus (Mouse)
P62817	HRK_RAT	92	Rattus norvegicus (Rat)
Q8K348	ACV1C_MOUSE	493	Mus musculus (Mouse)
P70539	ACV1C_RAT	493	Rattus norvegicus (Rat)
Q8NER5	ACV1C_HUMAN	493	Homo sapiens (Human)
Q9NPJ3	ACO13_HUMAN	140	Homo sapiens (Human)
Q3UUI3	THEM4_MOUSE	230	Mus musculus (Mouse)
A1A4L1	THEM4_BOVIN	237	Bos taurus (Bovine)
Q566R0	THEM4_RAT	230	Rattus norvegicus (Rat)
Q6GLK2	THEM4_XENLA	222	Xenopus laevis (African clawed frog)
Q5T1C6	THEM4_HUMAN	240	Homo sapiens (Human)
Q4FZU4	ATL4_RAT	1030	Rattus norvegicus (Rat)
Q6UY14	ATL4_HUMAN	1074	Homo sapiens (Human)
Q80T21	ATL4_MOUSE	1036	Mus musculus (Mouse)
P87378	CRK_XENLA	296	Xenopus laevis (African clawed frog)
P25054	APC_HUMAN	2843	Homo sapiens (Human)
P03958	ADA_MOUSE	352	Mus musculus (Mouse)
Q9Y3D8	KAD6_HUMAN	172	Homo sapiens (Human)
Q640N1	AEBP1_MOUSE	1128	Mus musculus (Mouse)
P12235	ADT1_HUMAN	298	Homo sapiens (Human)
P05141	ADT2_HUMAN	298	Homo sapiens (Human)
P12236	ADT3_HUMAN	298	Homo sapiens (Human)
Q6QRN9	ADT3_PIG	298	Sus scrofa (Pig)
P32007	ADT3_BOVIN	298	Bos taurus (Bovine)
Q58DI9	ARL11_BOVIN	182	Bos taurus (Bovine)
Q5BK71	ARL11_RAT	173	Rattus norvegicus (Rat)
Q6P3A9	ARL11_MOUSE	176	Mus musculus (Mouse)
Q969Q4	ARL11_HUMAN	196	Homo sapiens (Human)
Q9JKW0	AR6P1_MOUSE	203	Mus musculus (Mouse)
Q15041	AR6P1_HUMAN	203	Homo sapiens (Human)
Q5R454	AR6P1_PONAB	203	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q8BXL7	ARFRP_MOUSE	201	Mus musculus (Mouse)
Q5ZIV9	ADSV_CHICK	717	Gallus gallus (Chicken)
Q29297	ADSV_PIG	125	Sus scrofa (Pig)
Q9Y6U3	ADSV_HUMAN	715	Homo sapiens (Human)
Q60604	ADSV_MOUSE	715	Mus musculus (Mouse)
Q28046	ADSV_BOVIN	715	Bos taurus (Bovine)
Q28173	RAGE_BOVIN	416	Bos taurus (Bovine)
Q63495	RAGE_RAT	402	Rattus norvegicus (Rat)
Q15109	RAGE_HUMAN	404	Homo sapiens (Human)
Q62151	RAGE_MOUSE	402	Mus musculus (Mouse)
B5X1G6	AKTIP_SALSA	297	Salmo salar (Atlantic salmon)
Q5ZJJ5	AKTIP_CHICK	293	Gallus gallus (Chicken)
Q64362	AKTIP_MOUSE	292	Mus musculus (Mouse)
Q7ZYX1	AKTIP_DANRE	293	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9H8T0	AKTIP_HUMAN	292	Homo sapiens (Human)
Q5FVH4	AKTIP_RAT	292	Rattus norvegicus (Rat)
Q4R5E1	AKTIP_MACFA	292	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q5RE48	AKTIP_PONAB	293	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q28IA3	AKTIP_XENTR	292	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q498F8	AKTPA_XENLA	293	Xenopus laevis (African clawed frog)
Q5XGV8	AKTPB_XENLA	292	Xenopus laevis (African clawed frog)
Q8CFX8	SYAC_MESAU	968	Mesocricetus auratus (Golden hamster)
Q8VD53	ACER2_MOUSE	275	Mus musculus (Mouse)
Q5QJU3	ACER2_HUMAN	275	Homo sapiens (Human)
A1A4L5	ALKB8_BOVIN	664	Bos taurus (Bovine)
Q96BT7	ALKB8_HUMAN	664	Homo sapiens (Human)
Q07G10	ALKB8_XENTR	628	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q95K79	ALKB8_MACFA	664	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q80Y20	ALKB8_MOUSE	664	Mus musculus (Mouse)
A3KNS9	ARAID_DANRE	230	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6PGD0	ARAID_MOUSE	223	Mus musculus (Mouse)
Q6UW56	ARAID_HUMAN	229	Homo sapiens (Human)
Q9UBT7	CTNL1_HUMAN	734	Homo sapiens (Human)
Q8JZQ5	AOC1_MOUSE	751	Mus musculus (Mouse)
Q9TRC7	AOC1_PIG	755	Sus scrofa (Pig)
P19801	AOC1_HUMAN	751	Homo sapiens (Human)
P36633	AOC1_RAT	746	Rattus norvegicus (Rat)
P31230	AIMP1_MOUSE	310	Mus musculus (Mouse)
O54873	AIMP1_CRIGR	359	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q12904	AIMP1_HUMAN	312	Homo sapiens (Human)
Q32PX2	AIMP2_RAT	320	Rattus norvegicus (Rat)
Q0II26	AIMP2_BOVIN	320	Bos taurus (Bovine)
Q9WVM7	AIMP2_CRIGR	320	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q8R010	AIMP2_MOUSE	320	Mus musculus (Mouse)
Q13155	AIMP2_HUMAN	320	Homo sapiens (Human)
Q86SJ2	AMGO2_HUMAN	522	Homo sapiens (Human)
Q7TNJ4	AMGO2_RAT	520	Rattus norvegicus (Rat)
Q80ZD9	AMGO2_MOUSE	519	Mus musculus (Mouse)
P46933	APBB1_RAT	711	Rattus norvegicus (Rat)
Q9QXJ1	APBB1_MOUSE	710	Mus musculus (Mouse)
O00213	APBB1_HUMAN	710	Homo sapiens (Human)
P53601	A4_MACFA	770	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P12023	A4_MOUSE	770	Mus musculus (Mouse)
P79307	A4_PIG	770	Sus scrofa (Pig)
P08592	A4_RAT	770	Rattus norvegicus (Rat)
Q95241	A4_SAISC	751	Saimiri sciureus (Common squirrel monkey)
Q60495	A4_CAVPO	770	Cavia porcellus (Guinea pig)
P05067	A4_HUMAN	770	Homo sapiens (Human)
Q5IS80	A4_PANTR	770	Pan troglodytes (Chimpanzee)
P51693	APLP1_HUMAN	650	Homo sapiens (Human)
Q03157	APLP1_MOUSE	653	Mus musculus (Mouse)
O88878	ZFAN5_MOUSE	213	Mus musculus (Mouse)
O76080	ZFAN5_HUMAN	213	Homo sapiens (Human)
B5DF11	ZFAN5_RAT	213	Rattus norvegicus (Rat)
Q6FIF0	ZFAN6_HUMAN	208	Homo sapiens (Human)
Q5R7S6	ZFAN6_PONAB	208	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q9DCH6	ZFAN6_MOUSE	223	Mus musculus (Mouse)
Q6DGF4	ZFAN6_RAT	223	Rattus norvegicus (Rat)
A4IHR0	CPIN1_XENTR	313	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q5EAC7	CPIN1_BOVIN	310	Bos taurus (Bovine)
Q4SK88	CPIN1_TETNG	313	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)
C1BH56	CPIN1_ONCMY	313	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Q5ZJA2	CPIN1_CHICK	306	Gallus gallus (Chicken)
Q6FI81	CPIN1_HUMAN	312	Homo sapiens (Human)
Q5XID1	CPIN1_RAT	309	Rattus norvegicus (Rat)
Q4V7N8	CPIN1_XENLA	311	Xenopus laevis (African clawed frog)
Q6AZB3	CPIN1_DANRE	311	Danio rerio (Zebrafish) (Brachydanio rerio)
Q8WTY4	CPIN1_MOUSE	309	Mus musculus (Mouse)
Q17L24	DRE2_AEDAE	254	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
O15692	DRE2_DICDI	256	Dictyostelium discoideum (Slime mold)
Q9V3Y2	DRE2_DROME	248	Drosophila melanogaster (Fruit fly)
Q4QIS1	DRE2_LEIMA	113	Leishmania major
B6TB21	DRE2_MAIZE	263	Zea mays (Maize)
A7S710	DRE2_NEMVE	282	Nematostella vectensis (Starlet sea anemone)
C4WXC1	DRE2_ACYPI	257	Acyrthosiphon pisum (Pea aphid)
C3YFB4	DRE2_BRAFL	309	Branchiostoma floridae (Florida lancelet) (Amphioxus)
P41847	DRE2_CAEEL	238	Caenorhabditis elegans
B4HXL7	DRE2_DROSE	248	Drosophila sechellia (Fruit fly)
B4LRY2	DRE2_DROVI	248	Drosophila virilis (Fruit fly)
Q86E67	DRE2_SCHJA	276	Schistosoma japonicum (Blood fluke)
C6TKZ5	DRE2_SOYBN	260	Glycine max (Soybean) (Glycine hispida)
Q4N8L0	DRE2_THEPA	317	Theileria parva (East coast fever infection agent)
Q7PWQ6	DRE2_ANOGA	254	Anopheles gambiae (African malaria mosquito)
A8QBB1	DRE2_BRUMA	231	Brugia malayi (Filarial nematode worm)
Q582A7	DRE2_TRYB2	124	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)
A8X858	DRE2_CAEBR	228	Caenorhabditis briggsae
A4RS24	DRE2_OSTLU	257	Ostreococcus lucimarinus (strain CCE9901)
B3L145	DRE2_PLAKH	242	Plasmodium knowlesi (strain H)
B9RBT0	DRE2_RICCO	274	Ricinus communis (Castor bean)
B9Q0C2	DRE2_TOXGV	443	Toxoplasma gondii (strain ATCC 50861 / VEG)
B0WQ75	DRE2_CULQU	261	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)
Q29P70	DRE2_DROPS	247	Drosophila pseudoobscura pseudoobscura (Fruit fly)
B4MZ79	DRE2_DROWI	253	Drosophila willistoni (Fruit fly)
A4H4W7	DRE2_LEIBR	119	Leishmania braziliensis
B7FNA9	DRE2_MEDTR	265	Medicago truncatula (Barrel medic) (Medicago tribuloides)
Q7RJY1	DRE2_PLAYO	251	Plasmodium yoelii yoelii
C4PYP8	DRE2_SCHMA	272	Schistosoma mansoni (Blood fluke)
B3RVZ1	DRE2_TRIAD	278	Trichoplax adhaerens (Trichoplax reptans)
Q5CKJ0	DRE2_CRYHO	298	Cryptosporidium hominis
Q5CWQ7	DRE2_CRYPI	298	Cryptosporidium parvum (strain Iowa II)
B3N5N3	DRE2_DROER	248	Drosophila erecta (Fruit fly)
B4KLC0	DRE2_DROMO	248	Drosophila mojavensis (Fruit fly)
B4Q5Z1	DRE2_DROSI	248	Drosophila simulans (Fruit fly)
B4NYT3	DRE2_DROYA	248	Drosophila yakuba (Fruit fly)
A4HT41	DRE2_LEIIN	119	Leishmania infantum
A9V767	DRE2_MONBE	282	Monosiga brevicollis (Choanoflagellate)
D0N381	DRE2_PHYIT	277	Phytophthora infestans (strain T30-4) (Potato late blight fungus)
C0H4X5	DRE2_PLAF7	266	Plasmodium falciparum (isolate 3D7)
Q4UH15	DRE2_THEAN	255	Theileria annulata
C9ZUU9	DRE2_TRYB9	124	Trypanosoma brucei gambiense (strain MHOM/CI/86/DAL972)
D1I234	DRE2_VITVI	272	Vitis vinifera (Grape)
Q8L7Z3	DRE2_ARATH	272	Arabidopsis thaliana (Mouse-ear cress)
A7AWN0	DRE2_BABBO	250	Babesia bovis
B3MLC5	DRE2_DROAN	248	Drosophila ananassae (Fruit fly)
B4JAX0	DRE2_DROGR	249	Drosophila grimshawi (Fruit fly) (Idiomyia grimshawi)
B4GK79	DRE2_DROPE	247	Drosophila persimilis (Fruit fly)
B7PP17	DRE2_IXOSC	274	Ixodes scapularis (Black-legged tick) (Deer tick)
Q01FJ6	DRE2_OSTTA	246	Ostreococcus tauri
B7G267	DRE2_PHATC	306	Phaeodactylum tricornutum (strain CCAP 1055/1)
Q4YUG2	DRE2_PLABA	251	Plasmodium berghei (strain Anka)
A5K5K4	DRE2_PLAVS	242	Plasmodium vivax (strain Salvador I)
A9PBH9	DRE2_POPTR	277	Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)
B8C4D7	DRE2_THAPS	275	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)
A0BV78	DRE21_PARTE	250	Paramecium tetraurelia
A2XYW4	DRE21_ORYSI	265	Oryza sativa subsp. indica (Rice)
A9S6X4	DRE21_PHYPA	344	Physcomitrella patens subsp. patens (Moss)
Q7XQ97	DRE21_ORYSJ	265	Oryza sativa subsp. japonica (Rice)
B8LK84	DRE21_PICSI	285	Picea sitchensis (Sitka spruce) (Pinus sitchensis)
Q4D3B7	DRE21_TRYCC	115	Trypanosoma cruzi (strain CL Brener)
A9SUX2	DRE22_PHYPA	317	Physcomitrella patens subsp. patens (Moss)
B8ARI7	DRE22_ORYSI	264	Oryza sativa subsp. indica (Rice)
Q4DER6	DRE22_TRYCC	115	Trypanosoma cruzi (strain CL Brener)
A0CIS3	DRE22_PARTE	250	Paramecium tetraurelia
B8LPG7	DRE22_PICSI	277	Picea sitchensis (Sitka spruce) (Pinus sitchensis)
Q7XPW7	DRE22_ORYSJ	264	Oryza sativa subsp. japonica (Rice)
B5XEX1	CPN1A_SALSA	313	Salmo salar (Atlantic salmon)
C0HBG1	CPN1B_SALSA	313	Salmo salar (Atlantic salmon)
P10275	ANDR_HUMAN	920	Homo sapiens (Human)
Q9BDY8	ANGP1_PIG	498	Sus scrofa (Pig)
A0A8J8	ANGP2_CANLF	495	Canis lupus familiaris (Dog) (Canis familiaris)
O15123	ANGP2_HUMAN	496	Homo sapiens (Human)
Q9BDY7	ANGP2_PIG	496	Sus scrofa (Pig)
O35608	ANGP2_MOUSE	496	Mus musculus (Mouse)
O77802	ANGP2_BOVIN	496	Bos taurus (Bovine)
O35462	ANGP2_RAT	496	Rattus norvegicus (Rat)
Q9BY76	ANGL4_HUMAN	406	Homo sapiens (Human)
Q9Z1P8	ANGL4_MOUSE	410	Mus musculus (Mouse)
Q8IWZ3	ANKH1_HUMAN	2542	Homo sapiens (Human)
G5EGA3	ANKL1_CAEEL	704	Caenorhabditis elegans
Q8K3X6	ANS4B_MOUSE	423	Mus musculus (Mouse)
Q15327	ANKR1_HUMAN	319	Homo sapiens (Human)
Q90343	NR13_COTJA	177	Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)
Q90ZN1	NR13_CHICK	177	Gallus gallus (Chicken)
B3EWE7	ACP1_CYCRE	9	Cycas revoluta (Sago palm)
Q6WY08	ATLE_AGRAE	158	Agrocybe aegerita (Black poplar mushroom) (Agaricus aegerita)
Q5AJU7	YAP1_CANAL	499	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
O95236	APOL3_HUMAN	402	Homo sapiens (Human)
A8WJ42	APOP1_CAEBR	142	Caenorhabditis briggsae
Q9W549	APOP1_DROME	176	Drosophila melanogaster (Fruit fly)
Q8MYM9	APOP1_CAEEL	142	Caenorhabditis elegans
P54096	VP3_CAV82	121	Chicken anemia virus (isolate Japan 82-2) (CAV)
P54094	VP3_CAVCI	121	Chicken anemia virus (isolate USA CIA-1) (CAV)
Q9IZU6	VP3_CAVCA	121	Chicken anemia virus (isolate Australia/CAU269-7/2000) (CAV)
P54095	VP3_CAV26	120	Chicken anemia virus (isolate USA 26p4) (CAV)
Q99152	VP3_CAVC1	121	Chicken anemia virus (isolate Germany Cuxhaven-1) (CAV)
Q148E1	APOP1_BOVIN	192	Bos taurus (Bovine)
Q32Q90	APOP1_RAT	193	Rattus norvegicus (Rat)
Q9CQW7	APOP1_MOUSE	192	Mus musculus (Mouse)
Q96IL0	APOP1_HUMAN	206	Homo sapiens (Human)
Q6AYK4	B2L14_RAT	326	Rattus norvegicus (Rat)
